"x1","x2","번호","지역","지역2","순위","차수","수익률","투자기간","등급","모집금액","투자인원","TARGET"
"제1564차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 3차#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액9억9,912만원?투자인원1,518명",1564,"용인","메종_포레스트",1,3,12.42,3,"B2",99912,1518,"연체"
"제1558차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱 2차#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,394명",1558,"용인","메종_포레스트",1,2,12.42,3,"B2",1e+05,1394,"연체"
"제1554차 용인 메종 포레스트 타운하우스 C 신축사업 리파이낸싱#1순위","수익률(연)12.42%?투자기간3개월?등급B2?모집금액10억원?투자인원1,583명",1554,"용인","메종_포레스트",1,1,12.42,3,"B2",1e+05,1583,"연체"
"제1516차 가평 연립주택B 신축사업 12차#1순위","수익률(연)12.7%?투자기간3개월?등급B2?모집금액1억2,000만원?투자인원159명",1516,"가평","연립주택B_신축사업",1,12,12.7,3,"B2",12000,159,"연체"
"제1470차 일산 고양국제고 인근 다세대E 신축 17차#1순위","수익률(연)12.5%?투자기간3개월?등급B2?모집금액7,000만원?투자인원83명",1470,"일산","고양국제고_인근",1,17,12.5,3,"B2",7000,83,"연체"
"제1448차 가평 연립주택B 신축사업 11차#1순위","수익률(연)12.7%?투자기간4개월?등급B2?모집금액5,000만원?투자인원68명",1448,"가평","연립주택B_신축사업",1,11,12.7,4,"B2",5000,68,"연체"
"제1411차 가평 연립주택B 신축사업 10차#1순위","수익률(연)12.7%?투자기간4개월?등급B2?모집금액2억5,000만원?투자인원644명",1411,"가평","연립주택B_신축사업",1,10,12.7,4,"B2",25000,644,"연체"
"제1394차 일산 고양국제고 인근 다세대E 신축 16차#1순위","수익률(연)12.5%?투자기간3개월?등급B2?모집금액1억2,000만원?투자인원223명",1394,"일산","고양국제고_인근",1,16,12.5,3,"B2",12000,223,"연체"
"제1355차 태안 버스터미널 인근 다세대 신축 리파이낸싱 3차#1순위","수익률(연)14%?투자기간6개월?등급C1?모집금액8억4,000만원?투자인원1,494명",1355,"태안","버스터미널_인근",1,3,14,6,"C1",84000,1494,"연체"
"제1342차 태안 버스터미널 인근 다세대 신축 리파이낸싱 2차#1순위","수익률(연)14%?투자기간7개월?등급C1?모집금액10억원?투자인원1,737명",1342,"태안","버스터미널_인근",1,2,14,7,"C1",1e+05,1737,"연체"
"제1331차 태안 버스터미널 인근 다세대 신축 리파이낸싱#1순위","수익률(연)14%?투자기간6개월?등급C1?모집금액10억원?투자인원1,907명",1331,"태안","버스터미널_인근",1,1,14,6,"C1",1e+05,1907,"연체"
"제1240차 고양 대자동 다세대주택 신축 5차#1순위","수익률(연)12.07%?투자기간8개월?등급B1?모집금액3억원?투자인원798명",1240,"고양","대자동_다세대주택",1,5,12.07,8,"B1",30000,798,"연체"
"제1225차 가평 연립주택B 신축사업 9차#1순위","수익률(연)12.7%?투자기간5개월?등급B2?모집금액1억5,000만원?투자인원383명",1225,"가평","연립주택B_신축사업",1,9,12.7,5,"B2",15000,383,"연체"
"제1176차 경기 광주 수레실마을 다세대주택 신축사업 18차#1순위","수익률(연)13%?투자기간7개월?등급C1?모집금액1억6,000만원?투자인원257명",1176,"경기","광주_수레실마을",1,18,13,7,"C1",16000,257,"연체"
"제1144차 가평 연립주택B 신축사업 8차#1순위","수익률(연)12.7%?투자기간6개월?등급B2?모집금액2억원?투자인원393명",1144,"가평","연립주택B_신축사업",1,8,12.7,6,"B2",20000,393,"연체"
"제1118차 고양 대자동 다세대주택 신축 4차#1순위","수익률(연)12.07%?투자기간9개월?등급B1?모집금액4억원?투자인원774명",1118,"고양","대자동_다세대주택",1,4,12.07,9,"B1",40000,774,"연체"
"제1091차 경기 광주 수레실마을 다세대주택 신축사업 17차#1순위","수익률(연)13%?투자기간8개월?등급C1?모집금액1억원?투자인원140명",1091,"경기","광주_수레실마을",1,17,13,8,"C1",10000,140,"연체"
"제1035차 일산 고양국제고 인근 다세대E 신축 15차#1순위","수익률(연)12.5%?투자기간7개월?등급B2?모집금액1억원?투자인원179명",1035,"일산","고양국제고_인근",1,15,12.5,7,"B2",10000,179,"연체"
"제1020차 고양 대자동 다세대주택 신축 2차#1순위","수익률(연)12.07%?투자기간10개월?등급B1?모집금액3억5,500만원?투자인원653명",1020,"고양","대자동_다세대주택",1,2,12.07,10,"B1",35500,653,"연체"
"제1019차 제주 애월 신엄리 다세대주택 신축사업 리파이낸싱 2차#1순위","수익률(연)12.2%?투자기간6개월?등급B1?모집금액13억5,000만원?투자인원2,155명",1019,"제주","애월_신엄리",1,2,12.2,6,"B1",135000,2155,"연체"
"제1015차 제주 애월 신엄리 다세대주택 신축사업 리파이낸싱 1차#1순위","수익률(연)12.2%?투자기간6개월?등급B1?모집금액13억5,000만원?투자인원1,754명",1015,"제주","애월_신엄리",1,1,12.2,6,"B1",135000,1754,"연체"
"제1014차 고양 대자동 다세대주택 신축#1순위","수익률(연)12.07%?투자기간10개월?등급B1?모집금액8억원?투자인원1,532명",1014,"고양","대자동_다세대주택",1,1,12.07,10,"B1",80000,1532,"연체"
"제985차 경기 광주 수레실마을 다세대주택 신축사업 16차#1순위","수익률(연)13%?투자기간10개월?등급C1?모집금액2억원?투자인원405명",985,"경기","광주_수레실마을",1,16,13,10,"C1",20000,405,"연체"
"제965차 가평 연립주택B 신축사업 7차#1순위","수익률(연)12.7%?투자기간8개월?등급B2?모집금액3억5,000만원?투자인원541명",965,"가평","연립주택B_신축사업",1,7,12.7,8,"B2",35000,541,"연체"
"제964차 일산 고양국제고 인근 다세대E 신축 14차#1순위","수익률(연)12.5%?투자기간7개월?등급B2?모집금액1억원?투자인원130명",964,"일산","고양국제고_인근",1,14,12.5,7,"B2",10000,130,"연체"
"제887차 가평 연립주택B 신축사업 6차#1순위","수익률(연)12.7%?투자기간9개월?등급B2?모집금액3억원?투자인원495명",887,"가평","연립주택B_신축사업",1,6,12.7,9,"B2",30000,495,"연체"
"제879차 경기 광주 수레실마을 다세대주택 신축사업 15차#1순위","수익률(연)13%?투자기간11개월?등급C1?모집금액2억5,000만원?투자인원534명",879,"경기","광주_수레실마을",1,15,13,11,"C1",25000,534,"연체"
"제877차 일산 고양국제고 인근 다세대E 신축 13차#1순위","수익률(연)12.5%?투자기간8개월?등급B2?모집금액1억원?투자인원123명",877,"일산","고양국제고_인근",1,13,12.5,8,"B2",10000,123,"연체"
"제843차 일산 고양국제고 인근 다세대E 신축 12차#1순위","수익률(연)12.5%?투자기간9개월?등급B2?모집금액5,000만원?투자인원98명",843,"일산","고양국제고_인근",1,12,12.5,9,"B2",5000,98,"연체"
"제828차 일산 고양국제고 인근 다세대E 신축 11차#1순위","수익률(연)12.5%?투자기간9개월?등급B2?모집금액1억5,000만원?투자인원349명",828,"일산","고양국제고_인근",1,11,12.5,9,"B2",15000,349,"연체"
"제813차 가평 연립주택B 신축사업 5차#1순위","수익률(연)12.7%?투자기간10개월?등급B2?모집금액2억원?투자인원463명",813,"가평","연립주택B_신축사업",1,5,12.7,10,"B2",20000,463,"연체"
"제796차 가평 24세대 연립주택 신축 9차#1순위","수익률(연)12.63%?투자기간6개월?등급B2?모집금액2억원?투자인원388명",796,"가평","24세대_연립주택",1,9,12.63,6,"B2",20000,388,"연체"
"제774차 가평 연립주택B 신축사업 4차#1순위","수익률(연)12.7%?투자기간10개월?등급B2?모집금액2억원?투자인원307명",774,"가평","연립주택B_신축사업",1,4,12.7,10,"B2",20000,307,"연체"
"제762차 일산 고양국제고 인근 다세대E 신축 10차#1순위","수익률(연)12.5%?투자기간10개월?등급B2?모집금액2억3,000만원?투자인원433명",762,"일산","고양국제고_인근",1,10,12.5,10,"B2",23000,433,"연체"
"제754차 가평 연립주택B 신축사업 3차#1순위","수익률(연)12.7%?투자기간10개월?등급B2?모집금액1억원?투자인원243명",754,"가평","연립주택B_신축사업",1,3,12.7,10,"B2",10000,243,"연체"
"제730차 경기 광주 수레실마을 다세대주택 신축사업 14차#1순위","수익률(연)13%?투자기간12개월?등급C1?모집금액2억원?투자인원393명",730,"경기","광주_수레실마을",1,14,13,12,"C1",20000,393,"연체"
"제697차 가평 24세대 연립주택 신축 8차#1순위","수익률(연)12.63%?투자기간7개월?등급B2?모집금액1억4,000만원?투자인원297명",697,"가평","24세대_연립주택",1,8,12.63,7,"B2",14000,297,"연체"
"제673차 경기 광주 수레실마을 다세대주택 신축사업 13차#1순위","수익률(연)13%?투자기간13개월?등급C1?모집금액5,000만원?투자인원135명",673,"경기","광주_수레실마을",1,13,13,13,"C1",5000,135,"연체"
"제659차 일산 고양국제고 인근 다세대E 신축 9차#1순위","수익률(연)12.5%?투자기간10개월?등급B2?모집금액1억5,000만원?투자인원296명",659,"일산","고양국제고_인근",1,9,12.5,10,"B2",15000,296,"연체"
"제650차 일산 고양국제고 인근 다세대E 신축 8차#1순위","수익률(연)12.5%?투자기간10개월?등급B2?모집금액5,000만원?투자인원142명",650,"일산","고양국제고_인근",1,8,12.5,10,"B2",5000,142,"연체"
"제640차 일산 고양국제고 인근 다세대E 신축 7차#1순위","수익률(연)12.5%?투자기간11개월?등급B2?모집금액1억5,000만원?투자인원318명",640,"일산","고양국제고_인근",1,7,12.5,11,"B2",15000,318,"연체"
"제625차 경기 광주 수레실마을 다세대주택 신축사업 12차#1순위","수익률(연)13%?투자기간13개월?등급C1?모집금액5,000만원?투자인원132명",625,"경기","광주_수레실마을",1,12,13,13,"C1",5000,132,"연체"
"제593차 경기 광주 수레실마을 다세대주택 신축사업 11차#1순위","수익률(연)13%?투자기간13개월?등급C1?모집금액3,000만원?투자인원103명",593,"경기","광주_수레실마을",1,11,13,13,"C1",3000,103,"연체"
"제588차 가평 연립주택B 신축사업 2차#1순위","수익률(연)12.7%?투자기간11개월?등급B2?모집금액3억4,000만원?투자인원695명",588,"가평","연립주택B_신축사업",1,2,12.7,11,"B2",34000,695,"연체"
"제587차 경기 광주 수레실마을 다세대주택 신축사업 10차#1순위","수익률(연)13%?투자기간13개월?등급C1?모집금액4,000만원?투자인원76명",587,"경기","광주_수레실마을",1,10,13,13,"C1",4000,76,"연체"
"제583차 경기 광주 수레실마을 다세대주택 신축사업 9차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액2,000만원?투자인원57명",583,"경기","광주_수레실마을",1,9,13,14,"C1",2000,57,"연체"
"제578차 경기 광주 수레실마을 다세대주택 신축사업 8차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액2,000만원?투자인원61명",578,"경기","광주_수레실마을",1,8,13,14,"C1",2000,61,"연체"
"제577차 경기 광주 수레실마을 다세대주택 신축사업 7차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액2,000만원?투자인원35명",577,"경기","광주_수레실마을",1,7,13,14,"C1",2000,35,"연체"
"제576차 가평 연립주택B 신축사업#1순위","수익률(연)12.7%?투자기간12개월?등급B2?모집금액4억원?투자인원636명",576,"가평","연립주택B_신축사업",1,1,12.7,12,"B2",40000,636,"연체"
"제566차 경기 광주 수레실마을 다세대주택 신축사업 6차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액3,000만원?투자인원96명",566,"경기","광주_수레실마을",1,6,13,14,"C1",3000,96,"연체"
"제561차 경기 광주 수레실마을 다세대주택 신축사업 5차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액8,000만원?투자인원169명",561,"경기","광주_수레실마을",1,5,13,14,"C1",8000,169,"연체"
"제556차 경기 광주 수레실마을 다세대주택 신축사업 4차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액7,000만원?투자인원115명",556,"경기","광주_수레실마을",1,4,13,14,"C1",7000,115,"연체"
"제548차 경기 광주 수레실마을 다세대주택 신축사업 3차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액1억원?투자인원181명",548,"경기","광주_수레실마을",1,3,13,14,"C1",10000,181,"연체"
"제546차 일산 고양국제고 인근 다세대E 신축 6차#1순위","수익률(연)12.5%?투자기간11개월?등급B2?모집금액2억원?투자인원371명",546,"일산","고양국제고_인근",1,6,12.5,11,"B2",20000,371,"연체"
"제537차 경기 광주 수레실마을 다세대주택 신축사업 2차#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액6,000만원?투자인원143명",537,"경기","광주_수레실마을",1,2,13,14,"C1",6000,143,"연체"
"제533차 경기 광주 수레실마을 다세대주택 신축사업#1순위","수익률(연)13%?투자기간14개월?등급C1?모집금액1억원?투자인원262명",533,"경기","광주_수레실마을",1,1,13,14,"C1",10000,262,"연체"
"제518차 가평 24세대 연립주택 신축사업 7차#1순위","수익률(연)12.63%?투자기간9개월?등급B2?모집금액3억원?투자인원609명",518,"가평","24세대_연립주택",1,7,12.63,9,"B2",30000,609,"연체"
"제488차 일산 고양국제고 인근 다세대E 신축 5차#1순위","수익률(연)12.5%?투자기간12개월?등급B2?모집금액1억원?투자인원176명",488,"일산","고양국제고_인근",1,5,12.5,12,"B2",10000,176,"연체"
"제487차 일산 고양국제고 인근 다세대E 신축 4차#1순위","수익률(연)12.5%?투자기간12개월?등급B2?모집금액1억원?투자인원162명",487,"일산","고양국제고_인근",1,4,12.5,12,"B2",10000,162,"연체"
"제486차 일산 고양국제고 인근 다세대E 신축 3차#1순위","수익률(연)12.5%?투자기간12개월?등급B2?모집금액3억원?투자인원658명",486,"일산","고양국제고_인근",1,3,12.5,12,"B2",30000,658,"연체"
"제485차 일산 고양국제고 인근 다세대E 신축 2차#1순위","수익률(연)12.5%?투자기간12개월?등급B2?모집금액4억원?투자인원836명",485,"일산","고양국제고_인근",1,2,12.5,12,"B2",40000,836,"연체"
"제483차 일산 고양국제고 인근 다세대E 신축#1순위","수익률(연)12.5%?투자기간12개월?등급B2?모집금액5억원?투자인원1,071명",483,"일산","고양국제고_인근",1,1,12.5,12,"B2",50000,1071,"연체"
"제474차 가평 24세대 연립주택 신축사업 6차#1순위","수익률(연)12.63%?투자기간9개월?등급B2?모집금액3억원?투자인원667명",474,"가평","24세대_연립주택",1,6,12.63,9,"B2",30000,667,"연체"
"제450차 가평 24세대 연립주택 신축사업 5차#1순위","수익률(연)12.63%?투자기간10개월?등급B2?모집금액2억원?투자인원393명",450,"가평","24세대_연립주택",1,5,12.63,10,"B2",20000,393,"연체"
"제405차 가평 24세대 연립주택 신축사업 4차#1순위","수익률(연)12.63%?투자기간11개월?등급B2?모집금액2억원?투자인원429명",405,"가평","24세대_연립주택",1,4,12.63,11,"B2",20000,429,"연체"
"제397차 가평 24세대 연립주택 신축사업 3차#1순위","수익률(연)12.63%?투자기간11개월?등급B2?모집금액2억원?투자인원370명",397,"가평","24세대_연립주택",1,3,12.63,11,"B2",20000,370,"연체"
"제326차 가평 24세대 연립주택 신축 2차#1순위","수익률(연)12.63%?투자기간13개월?등급B2?모집금액4억원?투자인원556명",326,"가평","24세대_연립주택",1,2,12.63,13,"B2",40000,556,"연체"
"제325차 가평 24세대 연립주택 신축#1순위","수익률(연)12.63%?투자기간13개월?등급B2?모집금액8억원?투자인원1,039명",325,"가평","24세대_연립주택",1,1,12.63,13,"B2",80000,1039,"연체"
